Feature,juror_z-stat_maps/juror_scenario.nii.gz,juror_z-stat_maps/juror_evidence.nii.gz,juror_z-stat_maps/juror_case_strength.nii.gz,juror_z-stat_maps/juror_punishment.nii.gz
connection,-0.0096,-0.0287,-0.0025,0.0237
connections,-0.06,-0.0812,0.0462,-0.0165
connectivity,-0.0889,-0.067,0.0412,-0.099
connectivity amygdala,0.0177,-0.065,0.0632,-0.0502
connectivity analyses,0.0,-0.0099,-0.0196,0.049
connectivity anterior,-0.0131,-0.0113,-0.0098,0.0142
connectivity fc,-0.0638,-0.0826,0.045,-0.1006
connectivity networks,-0.0107,0.0293,-0.0478,0.0003
connectivity patterns,-0.0611,-0.041,-0.0307,-0.0515
connectivity posterior,-0.0186,-0.0704,0.0122,-0.1017
connectivity rsfc,-0.0348,-0.0627,0.0331,-0.0687
connectivity using,-0.0828,-0.0239,-0.0256,-0.0906
conscious,0.0281,0.0671,0.0086,0.0378
consciousness,-0.0286,-0.0113,0.0407,-0.0151
consecutive,-0.0087,-0.0042,-0.049,0.0332
consequence,-0.0051,-0.0485,0.0316,-0.0079
consequences,-0.0267,0.0022,0.0138,-0.0365
consequently,0.0109,-0.0242,0.0134,0.022
consider,-0.0032,0.0425,-0.0272,-0.0232
considerable,0.0001,0.0833,-0.0058,0.0065
considered,0.0007,-0.0321,0.0028,-0.0011
considering,-0.0435,-0.0284,0.0186,-0.0579
consisted,0.0311,0.0158,-0.0061,0.0213
consistency,0.0265,0.0759,-0.0264,0.0205
consistently,0.0237,0.106,-0.039,0.0565
consisting,-0.041,-0.0717,-0.0183,0.0093
consists,-0.0066,-0.0256,-0.0194,-0.0268
consolidation,-0.0081,-0.0617,0.0435,0.0161
constant,-0.0067,0.0634,-0.042,0.0341
constitute,0.05,0.0955,-0.0213,0.0034
constrained,-0.0091,0.0145,-0.0114,0.0531
constraints,-0.0112,-0.0563,0.0215,-0.0043
construct,-0.0019,0.0574,0.0033,0.0091
constructed,0.0061,-0.0055,0.0452,0.0355
construction,0.0628,0.0275,0.015,0.0057
consumption,-0.0537,-0.0233,0.0497,-0.0787
contain,-0.0024,-0.0302,-0.0074,-0.0046
contained,0.0064,-0.0682,0.0432,-0.0282
containing,0.0319,-0.0406,0.002,0.0356
contains,-0.0208,-0.0254,-0.0127,0.0112
content,0.107,0.1069,-0.0963,0.0699
contents,0.117,0.1112,-0.0337,0.0681
context,0.064,0.1061,-0.0641,0.0691
contexts,0.0682,0.1026,-0.0199,0.0916
contextual,0.065,0.1729,-0.0815,0.093
contingent,0.0019,0.0316,0.0016,0.0159
continuous,-0.0863,-0.097,0.0076,-0.0871
continuously,0.0191,-0.0604,-0.0141,-0.0361
contralateral,-0.1685,-0.3612,0.0717,-0.1016
contrary,0.0162,-0.0471,-0.0222,-0.0049
contrast,0.0312,-0.0109,-0.0102,0.0352
contrasted,0.008,0.0759,-0.0527,0.0861
contrasting,0.0685,0.1324,-0.053,0.0564
contrasts,0.0701,0.0433,-0.0248,0.0503
contribute,-0.0344,0.005,0.0573,0.0005
contributed,0.0212,0.031,-0.0048,0.0127
contributes,0.0598,0.0956,0.0019,0.0603
contributing,-0.0349,-0.0166,-0.0108,-0.0742
contribution,0.0228,0.1737,-0.0895,0.0368
contributions,0.0312,0.125,-0.0421,0.0746
control,-0.0526,0.0879,-0.0219,-0.0638
control condition,0.0389,0.1087,-0.0496,0.0082
control conditions,-0.0079,0.0159,-0.0123,-0.0073
control group,-0.0618,-0.0665,0.0488,-0.0718
control groups,-0.0348,-0.0463,0.0173,-0.0117
control network,-0.0071,0.1468,-0.0783,-0.0259
control processes,-0.0108,0.1541,-0.0497,0.0383
control task,0.0454,0.1572,-0.0327,0.0312
controlled,-0.0124,0.0245,-0.0586,-0.031
controlling,-0.0842,-0.09,0.0321,-0.0515
controls,-0.1038,-0.1173,0.0714,-0.174
controls hc,-0.021,0.0106,-0.0136,-0.0545
controls hcs,-0.106,-0.0498,0.0395,-0.1108
controls using,-0.0409,-0.0479,0.0542,-0.0745
controversial,-0.007,0.0258,-0.0174,0.0822
conventional,-0.0048,-0.0937,0.0057,-0.0144
convergence,-0.0035,0.0113,-0.009,0.0425
converging,0.0637,0.0616,-0.0087,0.0005
conversely,0.0032,0.006,0.0062,0.0035
conveyed,0.1027,-0.0159,-0.0542,0.0429
coordinates,-0.014,-0.1106,0.0368,0.0053
coordination,-0.0742,-0.2008,0.0277,-0.0105
core,0.1096,0.0688,-0.0302,0.0396
corpus,-0.0879,-0.1525,0.1568,-0.1072
corpus callosum,-0.0924,-0.1488,0.1573,-0.1145
correct,-0.0165,0.2243,-0.0814,0.0483
corrected,-0.0831,-0.0821,0.0307,-0.1145
correction,-0.0518,-0.0891,0.0263,-0.0971
correctly,-0.0234,0.1107,-0.0208,0.0148
correlate,-0.0382,-0.0268,0.0192,-0.048
correlated,-0.1186,-0.112,0.0721,-0.1116
correlated negatively,-0.0132,-0.0447,0.0397,-0.0538
correlated positively,-0.0152,-0.0266,0.0448,-0.0026
correlates,0.0014,0.0781,-0.0613,0.0084
correlating,-0.0495,-0.0524,0.025,-0.0049
correlation,-0.0984,-0.1031,0.0723,-0.0896
correlation analyses,-0.0292,-0.0314,0.003,-0.0495
correlations,-0.1048,-0.1045,0.0388,-0.1119
correspond,-0.0231,-0.098,0.0417,-0.0153
corresponded,-0.0343,0.0557,0.0325,0.0229
correspondence,-0.0238,-0.089,0.0461,0.0024
corresponding,-0.0338,-0.0843,-0.0165,-0.0245
cortex acc,-0.1394,-0.0009,-0.0156,0.0001
cortex amygdala,-0.0047,0.0344,0.0232,0.0013
cortex anterior,-0.0921,-0.0499,-0.0259,-0.0299
cortex ba,0.0008,0.0244,-0.0309,0.0068
cortex bilaterally,-0.0107,-0.0172,-0.0037,0.038
cortex cerebellum,-0.0244,-0.0061,-0.0147,-0.0271
cortex dacc,-0.0719,0.0441,-0.016,-0.0283
cortex dlpfc,-0.1124,0.1602,-0.0632,-0.0499
cortex dmpfc,0.0129,0.0712,-0.0497,-0.0109
cortex dorsal,-0.0812,-0.0794,0.0367,-0.0192
cortex dorsolateral,-0.0131,0.0976,-0.0475,0.0185
cortex frontal,-0.0558,-0.0572,-0.0143,-0.0382
cortex hippocampus,0.02,0.0368,0.0183,-0.016
cortex inferior,0.0063,0.0701,-0.0429,-0.0005
cortex insula,-0.0842,-0.0842,-0.0235,-0.0501
cortex involved,-0.0532,0.002,-0.0422,-0.0125
cortex lateral,-0.0594,-0.0671,-0.0045,-0.0279
cortex m1,-0.1202,-0.3001,0.0361,-0.1044
cortex medial,-0.0164,0.0115,-0.0013,0.0148
cortex middle,0.0055,-0.0216,-0.0069,0.0046
cortex mpfc,-0.0262,0.0474,-0.0061,-0.0066
cortex ofc,-0.0188,0.1018,0.0092,-0.0295
cortex parietal,0.025,0.0966,-0.0228,0.0244
cortex pcc,-0.0439,-0.0194,0.0499,-0.0007
cortex pfc,-0.0361,0.1652,-0.0482,-0.0426
cortex posterior,-0.0091,-0.0242,0.0123,-0.0198
cortex ppc,-0.0163,0.0215,0.0291,0.0522
cortex precuneus,0.056,-0.0105,0.0394,0.0201
cortex suggest,0.0217,0.0422,0.0253,0.0056
cortex superior,-0.0418,-0.0987,-0.0093,-0.0147
cortex supplementary,-0.054,-0.1507,0.0064,-0.0159
cortex thalamus,-0.0291,-0.0352,-0.0008,-0.0154
cortex ventral,-0.0378,0.0031,0.0229,0.0079
cortex vlpfc,0.0248,0.0187,-0.019,0.0359
cortex vmpfc,-0.0791,-0.0383,0.0386,-0.0431
cortical,-0.1006,-0.2847,0.0427,-0.0872
cortical involved,0.0292,0.0185,-0.0444,0.0417
cortical network,0.0416,-0.0214,-0.0159,0.0388
cortical networks,-0.033,0.0543,-0.0246,0.0194
cortical subcortical,-0.0442,-0.1613,0.0208,-0.0557
cortical thickness,-0.1363,-0.2145,0.0657,-0.1541
cortices,-0.1265,-0.1539,-0.0282,-0.058
cortico,-0.0177,0.0332,0.0182,0.0122
cost,0.0092,0.0426,0.0099,0.0246
costs,0.0223,0.0801,-0.0224,-0.0049
coupled,-0.0384,-0.0701,-0.007,-0.0112
coupling,-0.0151,-0.0416,0.0173,-0.0361
course,0.0012,-0.0666,0.0176,0.0015
courses,-0.003,-0.0614,-0.024,0.0488
covariance,-0.0582,-0.0038,-0.0033,-0.0368
covaried,-0.047,-0.0189,0.0491,-0.0504
covert,0.0563,-0.087,0.015,0.0911
craving,-0.0521,-0.0155,0.0369,0.0223
created,-0.0093,-0.0138,0.0072,0.0084
criteria,-0.024,0.0386,-0.0044,-0.0454
critical,0.062,0.1176,-0.0583,0.0046
critical role,0.0238,-0.0165,-0.0226,0.0108
critically,0.0848,0.0905,-0.0297,0.05
cross,-0.0541,-0.1002,0.0172,-0.0692
cross modal,-0.0091,-0.1272,0.017,0.0243
cross sectional,-0.0553,-0.061,0.033,-0.1063
crossover,-0.0968,-0.1008,0.0411,-0.1174
crucial,0.0539,0.097,0.0039,0.0288
crucial role,0.0037,0.0545,0.021,0.0165
crucially,-0.0253,-0.1066,0.0612,0.0039
crus,-0.014,0.1603,-0.0839,-0.0138
cue,0.0441,0.1459,-0.0361,0.0841
cued,0.0556,0.1127,-0.0553,0.0851
cues,0.0784,0.0598,-0.0099,0.0929
cuneus,-0.0336,-0.1157,0.0079,0.0406
current,-0.0537,0.0717,0.0106,-0.0369
current functional,0.0035,0.0497,-0.0257,0.0615
currently,-0.0733,-0.0448,0.0632,-0.0712
dacc,-0.0787,0.0688,-0.0228,-0.0129
daily,0.0567,0.0948,-0.0695,0.0474
daily life,0.0343,0.0417,-0.019,0.0394
damage,-0.0091,-0.0377,0.0576,-0.0415
dataset,-0.0386,-0.0337,-0.0265,-0.0481
datasets,-0.0143,-0.072,0.0138,-0.0345
date,-0.0086,-0.0127,0.0316,-0.047
day,0.0011,-0.0584,0.0403,-0.0218
days,-0.0298,-0.0175,0.011,-0.0441
deactivated,-0.0212,-0.0138,0.0281,-0.0011
deactivation,-0.0411,-0.0871,0.0173,-0.0026
deactivations,-0.065,-0.1357,0.0425,0.0123
debate,0.0286,0.0573,-0.0213,0.0069
debated,0.0161,0.0067,0.023,0.0349
decision,-0.0269,0.1952,-0.0529,0.0472
decision making,-0.0829,0.1341,-0.0176,-0.0137
decision task,0.066,0.0691,-0.0447,0.0678
decisions,0.0033,0.2238,-0.0714,0.0538
decline,-0.0386,0.011,0.0309,-0.0072
declines,-0.0034,0.0083,-0.0063,0.0005
decoding,0.0346,-0.04,-0.0003,0.0524
decreases,-0.0451,-0.0836,0.0578,-0.0518
decreasing,0.01,0.0095,-0.0075,0.0331
deep,0.0138,0.0397,-0.0029,-0.0039
default,-0.042,0.0045,-0.0208,-0.0706
default mode,-0.0551,-0.0132,-0.025,-0.083
default network,-0.0025,0.0157,0.0119,-0.0132
deficient,0.0198,0.0163,0.003,-0.004
deficit,0.0404,0.0416,0.0089,-0.0083
deficit hyperactivity,-0.061,-0.0311,0.0586,-0.0649
deficits,0.0567,0.1293,-0.0452,-0.0499
define,0.0212,-0.0938,0.0223,-0.0192
defined,-0.0237,-0.0571,0.0244,-0.0227
degree,-0.0005,-0.0297,-0.0017,-0.0366
degrees,-0.033,-0.0769,0.0018,-0.011
delay,0.0487,0.0972,0.0248,0.1001
delayed,0.0362,0.0631,-0.0036,0.0509
delivered,-0.0919,-0.1525,0.0083,-0.1169
demand,0.0014,0.1205,-0.039,0.0146
demanding,-0.0116,0.1427,-0.0282,0.0501
demands,0.0993,0.3184,-0.1024,0.1616
dementia,-0.0144,0.0111,0.046,-0.1066
demonstrate,0.0233,-0.0046,0.0189,-0.0039
demonstrated,0.0014,0.0081,0.0192,-0.0243
demonstrates,-0.0409,-0.0611,0.0046,-0.0006
demonstrating,0.0169,0.0298,0.0575,0.0
density,-0.093,-0.0864,0.0953,-0.101
depend,0.1042,0.1027,-0.0178,0.1051
depended,0.0209,-0.0253,-0.0123,0.0845
dependence,-0.0494,-0.03,0.0299,-0.0483
depending,0.0577,0.0545,-0.0418,0.0457
depends,-0.0086,0.0226,-0.0197,-0.0205
depicting,0.1122,0.0256,-0.0145,0.0714
depressed,-0.0547,-0.0038,0.0195,-0.1199
depression,-0.0805,-0.0237,0.0523,-0.1332
depressive,-0.0856,-0.0166,0.0496,-0.1214
depressive disorder,-0.0798,-0.0034,0.0336,-0.1031
deprivation,0.0189,-0.0171,0.0234,0.0412
depth,0.0035,-0.0144,0.0034,0.0274
derived,-0.0127,-0.0275,0.0161,0.0155
described,-0.0414,-0.1588,0.0289,-0.032
describing,0.0397,0.0179,-0.02,0.0313
design,-0.061,-0.111,-0.0003,-0.0327
designed,0.0061,-0.0042,-0.0332,0.0093
designs,-0.0121,-0.0852,0.0118,0.0111
despite,0.0433,0.0586,-0.0229,0.0634
detailed,0.0068,-0.0429,-0.007,-0.0248
details,-0.0046,0.0414,0.0356,0.0173
detect,-0.0269,-0.0292,0.0366,-0.0544
detected,-0.0545,-0.1839,0.0531,-0.0913
detecting,0.0203,0.0821,-0.0692,-0.0075
detection,-0.0262,-0.0575,-0.0163,-0.0509
detection task,0.0316,-0.0315,-0.0054,0.0176
determine,-0.0346,-0.1009,0.0273,-0.0784
determined,-0.0259,0.0134,0.0064,-0.0253
determining,-0.0033,0.0009,-0.0077,-0.002
develop,-0.0505,-0.0844,0.0135,-0.0598
developed,-0.0404,-0.0158,0.023,0.0257
developing,-0.0112,-0.0562,0.0335,-0.0338
development,-0.0391,-0.0484,0.0359,-0.0902
developmental,0.0058,0.0574,-0.0368,0.01
diagnosed,-0.0411,-0.0338,0.0288,-0.0904
diagnosis,-0.0811,-0.0859,0.0886,-0.1234
diagnostic,-0.035,-0.0244,0.0062,-0.0399
did,-0.0106,-0.0236,0.0088,-0.0091
did differ,0.0267,0.0582,-0.0337,0.0103
differ,0.0083,0.0006,-0.0379,-0.0179
differed,0.0187,0.0478,-0.0232,-0.0025
difference,-0.0575,-0.0461,0.0098,-0.0532
differential,0.0198,0.0593,-0.0197,0.0215
differentially,0.0402,0.1566,-0.0612,0.0915
differentiate,0.0045,0.0286,-0.0003,-0.0053
differentiated,-0.0313,0.0357,-0.0298,-0.0455
differentiation,0.0641,0.0033,-0.0156,0.0655
differently,0.0371,-0.0065,0.0018,0.0347
differing,-0.0102,-0.0268,-0.0122,0.0103
differs,-0.0268,-0.0492,0.0386,0.0169
difficult,0.0373,0.0754,-0.0018,0.0359
difficulties,-0.0037,0.0047,-0.0177,-0.0004
difficulty,0.0355,0.1758,-0.0516,0.058
diffusion,-0.0959,-0.1115,0.1808,-0.1482
diffusion tensor,-0.0872,-0.142,0.1744,-0.1359
digit,-0.0644,0.0189,0.0603,-0.0365
dimension,0.0312,0.0848,-0.025,0.0142
dimensional,-0.0311,-0.06,0.0661,0.0604
dimensions,-0.0168,-0.0172,-0.0029,-0.0145
diminished,0.0016,-0.0086,-0.0102,0.0009
direct,0.0541,0.0881,-0.0626,0.0244
direct evidence,0.0254,0.0549,-0.0593,0.0095
directed,-0.0095,-0.0175,0.0271,0.0592
direction,-0.0147,-0.1024,0.017,0.0006
directions,-0.0268,-0.1253,0.0148,-0.0405
directly,0.0125,-0.0061,-0.0196,0.0405
disability,-0.0536,-0.0745,0.0192,-0.0881
discrete,0.0282,0.0497,-0.0182,0.0458
discriminate,-0.0477,0.0162,0.0014,0.0151
discriminated,-0.0198,-0.023,0.0037,0.0077
discrimination,-0.0374,-0.0437,-0.0095,-0.0186
discrimination task,0.0273,0.0424,-0.0171,0.0232
discriminative,-0.1142,-0.1468,-0.0058,-0.1016
discuss,-0.0134,0.0256,-0.0396,0.0352
discussed,0.0968,0.1102,-0.0508,0.0834
discussion,-0.0141,-0.0404,0.0119,0.0062
disease,-0.0972,-0.0863,0.1059,-0.1537
disease ad,-0.0184,0.0078,0.0595,-0.0425
disease pd,-0.0443,-0.0856,0.0501,-0.0895
diseases,-0.0634,-0.0831,0.0357,-0.074
disentangle,0.0263,0.1301,-0.0705,0.013
disgust,0.0462,0.0064,0.0074,0.0217
disorder,-0.083,-0.014,0.0542,-0.1503
disorder adhd,-0.0647,-0.0138,0.0456,-0.0779
disorder mdd,-0.0951,-0.0239,0.0511,-0.1005
disorder ocd,-0.0498,0.065,0.0025,-0.0519
disorder ptsd,-0.0484,-0.042,0.0432,-0.0448
disorders,-0.033,-0.0586,0.0511,-0.0721
display,0.0311,-0.0314,0.0464,0.0045
displayed,-0.0215,-0.0284,0.0215,-0.0447
displays,0.0087,-0.0408,0.0313,0.0038
disrupted,-0.0304,-0.0505,0.0079,-0.0309
disruption,-0.051,0.0132,-0.0118,-0.0553
dissociable,0.0447,0.1511,-0.0184,0.0303
dissociate,0.0295,0.0474,-0.0534,0.0367
dissociated,0.0407,0.0989,-0.0497,0.0531
dissociation,0.0763,0.0974,-0.0099,0.0702
distance,-0.0367,0.0648,-0.0137,-0.0157
distinction,-0.0052,-0.0072,-0.0005,0.0205
distinguish,0.0316,0.0745,-0.0197,0.0495
distinguished,-0.0066,0.0158,-0.0102,0.02
distraction,0.0123,0.0663,-0.0146,0.0123
distractor,0.0365,0.0776,-0.012,0.0454
distractors,0.0363,0.0762,-0.0021,0.0251
distress,0.0506,0.0007,-0.0362,0.0257
distributed,0.0697,0.1196,-0.0785,0.0467
distributed network,0.0411,0.0996,-0.0469,0.032
distribution,-0.0368,-0.1344,0.044,-0.035
disturbances,-0.0215,-0.0111,0.0116,-0.0719
disturbed,0.0033,0.0244,-0.0348,-0.0169
divergent,0.0162,0.0199,0.0281,0.0024
diverse,0.0261,0.0016,-0.0102,0.0404
divided,-0.0284,0.0845,-0.0002,-0.0496
dlpfc,-0.1206,0.1759,-0.0731,-0.0669
dmn,-0.0586,-0.0196,0.0032,-0.1042
dmpfc,0.0098,0.0551,-0.058,-0.0083
documented,0.002,-0.0428,0.0048,0.0001
does,0.0317,0.0525,-0.0352,0.0796
domain,0.0687,0.2073,-0.0844,0.0876
domain general,0.0476,0.1601,-0.0951,0.0729
domains,-0.0109,0.1974,-0.058,0.016
dominance,-0.0032,-0.1073,-0.0206,-0.0171
dominant,-0.05,-0.1213,-0.0236,0.0193
dopamine,-0.0253,0.0735,0.022,-0.0157
dopaminergic,-0.0054,0.0696,0.0315,0.0091
dorsal,-0.0737,0.0238,-0.0248,0.0524
dorsal anterior,-0.1012,0.0434,-0.0253,-0.0318
dorsal attention,-0.0043,0.0477,-0.05,-0.0151
dorsal medial,-0.0175,0.0294,-0.0164,-0.0549
dorsal premotor,-0.0855,-0.185,0.0028,-0.0086
dorsal striatum,-0.0463,0.0242,0.0072,-0.0123
dorsal ventral,0.0664,0.0817,-0.0347,0.119
dorsolateral,-0.0573,0.3047,-0.1046,-0.0533
dorsolateral pfc,0.0052,0.165,-0.0333,-0.0206
dorsolateral prefrontal,-0.0654,0.2708,-0.1114,-0.0553
dorsomedial,0.0338,0.117,-0.0685,0.0098
dorsomedial prefrontal,0.0759,0.1275,-0.0817,0.0186
dose,-0.0257,0.0115,0.0075,-0.0935
dot,-0.0012,-0.0334,0.0452,0.0356
double,-0.0656,0.0113,-0.003,-0.0806
double blind,-0.0794,-0.0375,0.0413,-0.1174
drive,-0.0341,-0.0574,0.0403,-0.0263
driven,0.0173,-0.002,-0.0306,0.0016
driving,-0.0411,-0.0348,0.0398,0.0101
drug,-0.0901,-0.0411,0.0635,-0.1021
drugs,-0.0277,0.0084,-0.0225,0.0023
dti,-0.0582,-0.0922,0.1395,-0.0704
dual,0.053,0.0865,-0.011,0.0596
duration,-0.0758,-0.1383,0.0332,-0.0816
dynamic,0.0643,-0.0664,-0.0083,0.0119
dynamic causal,0.0162,0.015,-0.0071,0.0144
dynamically,0.0694,0.0569,-0.0669,0.0278
dynamics,-0.0201,-0.0585,-0.0192,0.0432
dysfunction,-0.0707,0.0018,0.0406,-0.0527
dysfunctional,0.0071,0.0099,-0.0149,-0.0396
dysfunctions,0.0174,0.0224,-0.0024,-0.0241
dyslexia,0.0449,0.0278,-0.006,0.0428
dysregulation,-0.0267,-0.0217,0.032,-0.0591
earlier,-0.0474,-0.0297,0.0262,-0.0295
early,0.032,-0.0781,0.0509,0.0043
early stage,0.0087,0.0027,0.0299,-0.0105
early stages,0.0694,0.0704,-0.0328,0.0237
early visual,0.0945,-0.0145,0.0026,0.0894
easy,-0.0305,0.017,0.0171,-0.018
eating,-0.0485,-0.0239,0.0506,-0.0563
echo,-0.0325,-0.0037,0.0372,-0.0589
economic,-0.0337,0.0033,-0.0116,-0.016
education,-0.0535,0.009,0.0069,-0.0939
eeg,-0.1032,-0.2071,0.0585,-0.1244
effect,-0.0114,0.0199,0.043,-0.0445
effective,0.0086,0.0105,0.0114,0.022
effective connectivity,0.0364,0.0455,-0.0193,0.0504
effectively,-0.037,-0.0527,0.0264,0.0062
effects,0.0002,-0.0287,0.0342,0.0222
efficacy,-0.0059,-0.048,0.0469,-0.0676
efficiency,0.0061,0.0654,0.0272,0.0133
efficient,0.082,0.0961,-0.0088,0.0783
effort,0.0091,0.0473,-0.0279,0.0038
effortful,0.0125,0.0206,-0.0047,0.0144
eighteen,0.0326,0.0688,0.0027,0.032
elderly,0.0047,-0.0068,0.0308,0.0227
electrical,-0.1151,-0.2527,0.0467,-0.108
electroencephalography,-0.073,-0.1225,0.0177,-0.0732
electroencephalography eeg,-0.0677,-0.1074,0.0204,-0.0571
electrophysiological,-0.0614,-0.1137,0.0445,-0.0544
elements,0.0226,0.034,-0.0112,0.0428
elevated,0.0012,-0.0706,0.0634,-0.0096
elicit,-0.0117,-0.0484,0.0112,0.0116
elicited,0.0873,0.0704,-0.0351,0.1563
elicits,0.0486,0.0048,0.0183,0.0407
elucidate,0.0135,-0.0244,-0.0052,-0.0421
elucidated,0.0098,0.0346,-0.0345,-0.0375
elusive,-0.083,-0.01,-0.0066,-0.066
embedded,0.0561,0.0286,0.0001,0.0873
emerge,-0.0214,-0.0675,-0.0106,-0.0239
emerged,0.014,-0.0181,0.0167,-0.0566
emergence,-0.0402,-0.0497,-0.0234,-0.0706
emerging,-0.0166,-0.108,0.0555,-0.0586
emission,-0.0522,-0.0355,0.0424,-0.0776
emission tomography,-0.0599,-0.0347,0.0405,-0.0801
emotion,0.0568,0.0036,0.0066,-0.0137
emotion regulation,0.024,0.0363,-0.0075,-0.0064
emotional,0.068,-0.0009,0.0051,-0.0176
emotional faces,0.0538,0.0595,-0.0045,-0.0167
emotional information,0.0272,0.0093,-0.0175,0.0412
emotional responses,-0.0148,-0.0512,0.0124,-0.0145
emotional stimuli,0.0126,0.0023,0.0163,-0.0111
emotional valence,0.0477,0.0108,0.0188,-0.0058
emotionally,0.0822,0.05,0.0045,0.0178
emotions,0.094,-0.0348,-0.0349,0.0004
empathic,0.0788,-0.0165,-0.0274,0.0115
empathy,0.1066,-0.0056,-0.0395,0.0144
emphasize,0.0122,-0.0246,-0.0261,0.0069
empirical,-0.0392,0.0397,-0.0226,-0.0224
employed,0.0049,0.0446,0.0061,0.0395
employing,-0.0079,-0.0161,0.0084,-0.0088
enable,0.0159,0.0451,-0.019,0.0318
enabled,-0.0299,-0.126,0.0058,-0.0297
enables,0.0347,0.0289,-0.0223,0.0187
encode,0.0238,-0.0954,0.026,0.0123
encoded,0.0498,0.1035,0.0363,0.0993
encoding,0.0887,0.2004,-0.0328,0.1334
encoding retrieval,0.0611,0.1746,-0.0485,0.1055
encompassing,-0.0436,-0.0475,0.021,-0.0434
end,-0.0725,-0.0412,0.0188,-0.0065
endogenous,0.0272,0.0067,0.0442,-0.0155
engage,0.0668,0.083,-0.028,0.0729
engaged,0.1317,0.1684,-0.0765,0.1729
engagement,0.0846,0.1756,-0.0657,0.1228
engages,0.0634,0.0309,-0.0314,0.0938
engaging,0.0392,-0.022,-0.0055,0.0127
english,0.0787,0.1453,-0.0788,0.1187
enhance,-0.0171,-0.0792,0.0494,-0.0298
enhancement,0.0089,-0.0359,0.0304,0.0066
enhances,0.0325,-0.0368,0.0439,0.0209
enhancing,0.0034,-0.0294,0.0414,-0.0116
entire,-0.0739,-0.1232,0.0388,-0.0436
environment,0.0305,0.0044,-0.027,0.0181
environmental,0.0061,-0.0414,0.001,-0.0498
environments,0.0027,-0.0021,-0.0157,-0.0209
epilepsy,-0.0189,-0.0376,0.0197,-0.0956
episode,-0.0787,0.0351,0.0285,-0.0439
episodes,0.0134,0.04,-0.0023,-0.0045
episodic,0.0793,0.2004,-0.0052,0.0904
episodic memory,0.0674,0.1706,-0.0091,0.0604
equal,-0.0025,0.0048,-0.0329,-0.0039
equally,0.0738,0.1135,-0.0774,0.0492
equivalent,0.0665,0.0961,-0.0306,0.0378
erp,-0.0083,0.0075,-0.0215,0.0328
error,-0.0505,0.0877,-0.088,-0.0069
errors,-0.007,0.1208,-0.055,0.0354
especially,-0.0409,-0.0767,0.0239,-0.0194
essential,0.0589,0.0448,-0.046,0.0332
establish,0.0085,0.0026,0.0078,0.0034
established,0.0491,0.0071,0.0265,0.0503
estimate,-0.0324,-0.0611,0.0177,-0.0394
estimated,-0.0964,-0.0785,0.0421,-0.0571
estimates,-0.0125,-0.0558,0.0115,-0.0259
estimation,-0.0519,0.0441,-0.0171,-0.0459
et,0.0301,0.064,-0.0765,0.0123
et al,0.025,0.0584,-0.0698,0.0154
evaluate,-0.0663,-0.0848,-0.0,-0.0484
evaluated,-0.0548,-0.0298,0.032,-0.02
evaluating,-0.0046,0.0169,0.006,0.0144
evaluation,-0.0531,-0.0671,0.0253,-0.0558
evaluations,-0.0066,0.0077,-0.0266,-0.0326
event,0.0774,0.1247,-0.0649,0.1607
event design,-0.0079,-0.041,-0.0162,0.0133
event functional,0.0869,0.1696,-0.0734,0.1252
event potential,-0.0303,-0.0003,-0.0367,0.0107
event potentials,0.0067,-0.0031,-0.0121,0.0001
events,0.084,0.1077,-0.0576,0.019
everyday,0.0623,0.0717,-0.0233,0.0407
everyday life,0.0223,0.0559,-0.0075,0.0138
evidence,0.0453,0.0585,-0.0023,-0.0065
evidence suggests,0.0277,0.0305,-0.0449,-0.0184
evidenced,-0.0212,-0.0048,0.0229,-0.0043
evident,0.0154,0.0252,0.0071,0.003
evoke,0.0295,0.0017,-0.0053,-0.016
evoked,-0.0441,-0.2384,0.0371,-0.0378
evolution,-0.0204,-0.0701,-0.0188,0.0044
exact,0.054,0.1255,-0.0009,-0.0223
examination,-0.0766,-0.0385,0.0262,-0.0404
examining,-0.0157,-0.0476,0.0269,-0.0095
example,0.0335,0.0452,-0.0287,0.0373
excessive,-0.0699,-0.0756,0.0219,-0.0982
exclusively,0.0251,0.0711,0.0041,0.0034
executed,-0.0514,-0.2046,0.0693,0.0008
execution,-0.0073,-0.1025,-0.0111,0.0363
executive,-0.0474,0.2889,-0.1153,0.0023
executive control,-0.0063,0.1724,-0.0631,0.0088
executive function,-0.0073,0.1324,-0.0374,-0.0199
executive functions,-0.0346,0.1434,-0.0693,-0.0152
exert,-0.0388,0.0355,0.0056,-0.0578
exhibit,-0.0253,0.0531,-0.0235,-0.023
exhibited,-0.0344,-0.0067,-0.0141,-0.0326
exhibited greater,-0.046,0.0134,-0.0376,-0.0378
exhibiting,-0.0365,-0.0345,0.0266,0.0053
exist,0.0021,0.008,-0.0047,-0.0313
existence,0.002,-0.031,-0.0125,0.0315
existing,-0.0303,-0.0211,0.0209,-0.0107
exists,-0.0238,-0.0227,-0.0171,-0.021
expectancy,0.0114,0.1305,-0.0569,-0.0133
expectation,0.02,-0.0018,0.0458,0.0307
expectations,0.0042,-0.0362,0.009,-0.0012
expected,-0.0303,-0.0706,0.0229,0.019
experience,0.013,-0.0738,0.0188,0.0494
experienced,-0.0532,-0.0383,0.0021,-0.0144
experiences,0.0361,0.0193,-0.0163,0.0696
